,C_L,C_D
874,1.7608711308403713,0.06584377706388167
14084,2.978143907791029,0.12434143539848638
7914,0.014018899230904925,0.0010835389346267276
5896,0.14652476147895743,0.008350090382445857
6573,-0.02164436064093592,0.003099667954306788
3978,0.2806091251723217,0.008128239687648536
7435,-0.09920279828877865,0.007989255086670798
875,1.9487881975442252,0.08197235446483352
15643,2.770904943299692,0.16804504961611158
6291,0.015595297832204593,0.0012388425329422884
4780,0.07761920378907573,0.0041087422824486125
11589,2.4145077096052328,0.13864540533122519
13294,-1.9264495387425928,0.1331290805713667
16215,-0.13532539430825782,0.017165069852617044
13698,-5.500566328355153,0.30369755469462795
8559,4.784097285664901,0.19296925486016617
15411,4.1934216376646445,0.26713966267085965
6638,-0.011144112906103279,0.001924307505634352
2164,-0.7598505613840659,0.03582377936837741
222,1.406356371540846,0.04592305497394056
5553,-0.05656449668606682,0.005805307116161888
10396,-1.8302451081128335,0.10294119653199835
15269,-5.176797270087714,0.3589978774269913
12399,-2.2870237383035343,0.17396928255609342
9608,2.6869216214719596,0.140041377395496
12334,-8.185117460593915,0.4160711646585441
10588,-0.4913058869662986,0.030097573486450462
10315,-1.5443843697035824,0.06635289212904023
13416,0.9499694484434407,0.08023655033371814
1869,-0.7032282026330782,0.07523980536356578
676,-0.7383887486361544,0.026055444914896805
10926,-3.1248840872546872,0.17939081265125287
3790,0.35178388970032004,0.009240945939022617
1584,0.3109207480962766,0.009040377751488504
5146,-0.05713977988147513,0.006218820729625508
12981,-5.02207673568568,0.24143541458615964
1105,1.8179046591545251,0.06963972602221088
9064,1.6185467833354545,0.07050890561667457
10357,-1.3420646999356511,0.05861597526956279
14354,0.4100332746939942,0.030121449047096426
15174,1.6953916575724846,0.07824172069691111
12658,9.98878873036115,0.5254014922839039
11413,0.3790254192763912,0.028657790055666696
13629,-0.18387212706452688,0.10901025646634957
11269,2.2317990020093874,0.09499054021566551
2319,0.3708927831824819,0.009343774981707442
13463,-0.571695940365878,0.06646837570657993
2802,0.2036855599327274,0.007205532014130536
9841,3.7667993701805256,0.16627499027562162
6719,0.006502231793737625,0.0010794184891973967
11039,4.176503456547847,0.23532427643531467
11431,-0.8482958444271046,0.037134889622714606
5033,0.043217929180298285,0.0026321664638191814
12425,10.217562617165413,0.5220943771211596
12463,0.2608602776534203,0.1371315733927758
10151,-0.5454621140348697,0.037280758312842985
1249,1.073906796777638,0.034344685541689596
14709,-0.07405187580179583,0.01619075667393491
2071,0.8565380985077199,0.03166098892061906
6376,0.017499321052066176,0.0011832113278991774
1290,0.8244957850425756,0.028936628398899614
7441,-0.03618829729720207,0.0021688802838223126
2357,-0.18621318367600334,0.007472181412583031
15465,-0.4115532943294594,0.030688342348501783
5823,-0.12389530559253774,0.007674738333456399
14103,1.4701935147287708,0.0624225004931049
13661,1.6770131570654265,0.12441832295792037
14632,0.8121993787253838,0.04189275432621479
12753,-5.142840677700929,0.20858935540465484
5060,0.10099331545644226,0.007375885335102152
2398,-0.3223342325299983,0.010471939205782295
5559,0.22196074748581218,0.01481817949142772
4586,-0.10053219964638456,0.006430726974733023
8272,26.270839011394578,2.698285210571312
12411,-23.74986121111669,2.273753190543681
4737,0.056149590876874565,0.003693911452846432
3908,-0.37045891456638685,0.013337141542140813
15758,-0.40788106609605035,0.02112212215363995
13660,0.16910287206995775,0.10494895023329028
16246,0.04408870372879961,0.009633834364734873
3189,0.8508141085267977,0.05185317477550593
15774,-1.379456508515739,0.06597778730841419
15047,1.0843713393792727,0.07653013944236702
14486,1.7308230186742253,0.08455148150122702
13923,-9.232969231505198,0.7619104117941019
4659,0.2946731002415477,0.018892436596310392
15338,-1.129727759684008,0.05067306753370956
11839,0.8053430202219674,0.03927100617012901
1407,-0.43317329930071463,0.18904612612264257
8823,-5.342163695823553,0.24819322885642828
15865,0.01688774420857713,0.01453841504889998
4505,0.04279454058280399,0.005126218249920074
14091,-6.641400605735554,0.47991872594809054
12453,-22.1530005700442,2.0212291467777974
3025,-0.40297410951107876,0.03727506973242307
916,1.773727449567729,0.06653761684517351
14836,0.0035295409007891922,0.013751030120662457
7333,-0.08909052612316465,0.006122372301424297
3033,0.20833871617832272,0.005832965152573614
500,2.4456606282088,0.13596949028327723
8280,-8.276315309667313,0.41669149646931
7746,0.03244528179182908,0.002026145852717066
11624,0.46601164050849475,0.02304764761454068
